symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,combined_score
NEO/USDT:USDT,6.781,0.09247623650716941,-0.08265692640692646,56.742708634132256,0.016314458506246503,25169487.52409079,3.5074490300368093,Buy,30.815722925312325,MACD Bullish,2.54,0.491,69.81,54.21,daily,2025-08-21 14:02:04.841272+00:00,0.9348238544788482,12.612234852213843,90.39548022598868,48.48349687778772,False,False,False,True,True,False,5.484,0.23650619985412102,5.484,5.5700306122448975,bull,6.864848,8.654192,20,57.33114458506246
PROM/USDT:USDT,9.033,0.017917511832318933,0.009048257372654023,63.57991360691146,-0.031704063957953166,7619392.411598173,0.21477454583009156,Neutral,64.93892548842935,Neutral,6.81,0.385,85.67,3.79,daily,2025-08-21 14:03:14.683030+00:00,0.5912343306558309,22.654791575244474,48.460038986354746,51.900725016909746,True,True,False,True,True,True,4.287867346938775,1.1066416633548386,4.287867346938775,9.689908163265304,bull,9.034108,11.877384000000001,20,56.959785097685874
PENDLE/USDT:USDT,5.4606,0.005561284619917561,0.12058280320131343,57.91263873970641,-0.018583044896090306,56783515.715634175,0.3679355244124825,Neutral,71.63213237511304,Neutral,7.7,0.391,82.61,1.79,daily,2025-08-21 14:02:42.184975+00:00,0.6503618279213383,33.771479475689226,50.013900472616115,61.40777199234285,True,True,False,True,True,True,3.1959255102040816,0.7086130394983154,3.1959255102040816,5.430104081632653,bull,5.3475072,6.7520256,20,56.168426475022606
IP/USDT:USDT,5.80126,0.05690180053307303,0.1615529392920072,43.781671267309804,-0.10756295783724201,125180591.72348565,0.17393057530005035,Neutral,76.6218521081379,Consistent Uptrend,8.43,0.602,74.01,11.07,daily,2025-08-21 14:03:28.276634+00:00,0.3636302064500464,42.931832661839486,19.808868785976646,15.199254467789602,False,True,False,False,True,False,5.61614224489796,0.03296172835903729,5.61614224489796,5.653140306122449,bull,5.5823286,8.5401744,20,55.650370421627585
CTSI/USDT:USDT,0.0836,0.2743902439024388,0.04630788485607007,59.89974937343357,0.0014175955966181809,9193537.240004582,0.16038603535733642,Buy,82.0708797798309,MACD Bullish,7.37,0.434,70.4,12.4,daily,2025-08-21 14:02:08.624158+00:00,0.6835590496338649,29.567623380154465,34.71502590673575,38.561432385544784,True,False,True,True,True,False,0.10055102040816327,-0.16858128678709167,0.10055102040816327,0.09170408163265306,bull,0.0798704,0.13967839999999998,20,55.33417595596619
QTUM/USDT:USDT,2.312,0.09781576448243112,-0.08868742609381164,56.60535117056856,0.007861515769814018,23597267.372885,8.57365939932608,Buy,30.3930757884907,MACD Bullish,3.38,0.492,65.06,53.98,daily,2025-08-21 14:02:05.411812+00:00,1.0311357603084457,17.286209168529325,76.39484978540767,40.76477356162621,False,False,False,True,False,False,3.734051020408163,-0.3808333128380022,3.734051020408163,2.3135000000000003,bull,2.286,2.945288,20,54.80261515769814
DOLO/USDT:USDT,0.221694,0.09628479450903193,2.46575578032423,57.51823705312078,-0.004222977676803026,21750820.5270493,0.33820447976718016,Neutral,81.78885111615985,Consistent Uptrend,9.0,0.572,74.18,3.64,daily,2025-08-21 14:03:14.074777+00:00,0.6415359318208866,54.589885082752396,35.12656339252983,40.95274207736407,True,True,False,True,True,False,0.05772167346938775,2.840741036684838,0.05772167346938775,0.22570212244897958,bull,0.235488372,0.369586656,20,54.53977022323197
ZEREBRO/USDT:USDT,0.02523,-0.08287895310796078,-0.21815928106600557,36.78474114441417,-0.00019942146368543692,55386672.20927905,5.870277456329659,Sell,24.99002892681573,MACD Bearish,1.5,0.502,62.96,59.65,daily,2025-08-21 14:03:09.092284+00:00,0.013130829429619845,18.700871302686835,9.58904109589041,9.613358329984976,False,False,False,False,False,False,0.038976530612244896,-0.35268738382595494,0.038976530612244896,0.07685,bear,0.02446,0.02446,40,54.37300578536315
DEGO/USDT:USDT,1.2571,0.01567423446715699,0.01979394824369285,62.88363877235594,0.0043426937682943985,9971230.956845084,0.4170750096122586,Weak Buy,72.11410881026114,Moderate Uptrend,7.46,0.33,74.77,5.81,daily,2025-08-21 14:02:55.368487+00:00,0.6832686509438597,30.796112500884053,55.14403292181075,69.34690262082779,True,False,True,True,True,False,1.3192479591836737,-0.04710862635870937,1.3192479591836737,1.3337734693877552,bull,1.2831364,1.4940072,20,53.55082176205223
UMA/USDT:USDT,1.486,0.1907051282051282,-0.0810142238713667,65.50218340611353,0.01917532950523242,17351929.529091667,1.3264182377657994,Buy,25.95876647526162,MACD Bullish,8.65,0.607,82.19,14.86,daily,2025-08-21 14:02:38.191842+00:00,1.0751978050393822,33.139664330585866,68.2864450127877,64.7487233804369,False,True,False,True,True,False,1.6527551020408164,-0.10089522751126759,1.6527551020408164,1.6356428571428572,bull,1.427764,2.319544,20,50.74475329505232
